destination_id,destination_name,state,latitude,longitude,avg_cost,cost_category,best_season,avg_temp,precipitation,climate_type,popularity_score,safety_index,ratings_avg,total_reviews,adventure,beach,nature,nightlife,food,culture,sightseeing,trip_duration_days,family_friendly,solo_friendly,couple_friendly,recommended_for
1,Bodh Gaya,Bihar,22.0329,72.8732,35224,Luxury,Winter,21,101,Temperate,98,94,3.6,23838,0,0,0,0,1,1,1,2,1,1,0,Family
2,Munnar,Kerala,19.1098,69.2065,54682,Luxury,Winter,22,362,Temperate,80,36,4.1,39893,0,0,1,0,0,0,1,12,1,0,0,Couple
3,Gangtok,Sikkim,14.1793,68.3052,37081,Luxury,Winter,21,281,Cold,53,36,4.6,949,0,0,0,0,1,0,0,5,1,0,1,Culture
4,Ranchi,Jharkhand,12.8052,87.9251,8740,Budget,Summer,29,160,Dry,79,30,3.9,38319,0,0,0,0,1,0,1,11,1,0,1,Family
5,Gangtok,Sikkim,23.3064,85.0058,36815,Luxury,Winter,8,288,Temperate,89,53,4.5,30737,0,0,0,0,0,0,1,4,1,1,1,Budget
6,Manali,Himachal Pradesh,22.3329,92.4988,50185,Luxury,Summer,33,259,Tropical,83,54,3.8,46358,1,0,1,0,0,0,1,5,0,1,1,Spiritual
7,Mahabaleshwar,Maharashtra,24.5679,81.9269,51608,Luxury,Monsoon,31,368,Dry,86,20,4.5,27556,0,0,1,0,0,0,1,5,1,1,1,Wildlife
8,Amritsar,Punjab,31.8866,70.6697,36284,Luxury,Monsoon,14,97,Temperate,70,98,3.9,45555,0,0,0,0,1,1,1,11,1,0,1,Budget
9,Indore,Madhya Pradesh,29.465,70.5652,29180,Luxury,Monsoon,20,317,Dry,97,81,4.0,44874,0,0,0,0,0,0,1,11,1,0,0,Luxury
10,Delhi,Delhi,24.1966,72.3942,27989,Luxury,Monsoon,6,230,Temperate,84,35,3.7,14105,0,0,0,1,0,1,1,3,0,0,0,Adventure
11,Udaipur,Rajasthan,12.3134,86.6971,71409,Luxury,All-year,35,105,Dry,33,51,3.8,32275,0,0,0,0,1,1,0,2,1,0,0,Budget
12,Mumbai,Maharashtra,16.4732,93.5758,38982,Luxury,Winter,35,54,Temperate,82,51,4.3,19469,0,0,0,1,0,0,1,2,1,0,1,Beach
13,Guwahati,Assam,15.4743,90.2353,52615,Luxury,Monsoon,27,207,Temperate,21,59,4.5,35345,0,0,0,0,0,0,0,6,0,1,1,Culture
14,Bodh Gaya,Bihar,22.8528,72.624,24173,Mid-range,All-year,11,108,Cold,81,87,3.7,33844,0,0,0,0,0,1,1,12,0,1,1,Spiritual
15,Puri,Odisha,12.1515,69.1139,11399,Budget,Winter,12,61,Tropical,57,57,4.0,32517,0,0,0,0,1,0,0,11,1,1,0,Wildlife
16,Gangtok,Sikkim,24.5366,81.4069,35263,Luxury,Winter,12,273,Tropical,81,49,4.5,34087,0,0,0,0,0,0,1,6,1,1,0,Family
17,Pondicherry,Puducherry,15.169,85.2868,35358,Luxury,Summer,15,352,Temperate,78,41,5.0,1777,0,1,0,0,1,0,1,11,0,0,0,Spiritual
18,Guwahati,Assam,18.1097,96.5312,47933,Luxury,Summer,19,270,Temperate,26,81,4.1,19408,0,0,0,0,0,0,0,11,1,1,1,Beach
19,Kutch,Gujarat,9.3114,86.0251,4783,Budget,All-year,17,38,Cold,81,47,3.6,33685,0,0,0,0,1,0,1,10,0,0,1,Spiritual
20,Coorg,Karnataka,16.1894,70.1635,16814,Mid-range,Winter,11,115,Temperate,49,77,4.5,18505,1,0,1,0,1,0,0,4,1,0,0,Culture
21,Manali,Himachal Pradesh,10.5469,95.2698,24975,Mid-range,Winter,20,316,Dry,24,99,4.5,32474,1,0,1,0,0,0,0,8,1,1,1,Spiritual
22,Munnar,Kerala,26.5583,71.7968,43283,Luxury,Winter,31,329,Cold,41,32,4.4,41012,0,0,1,0,0,0,0,6,1,0,0,Wildlife
23,Kolkata,West Bengal,21.9038,74.3559,50125,Luxury,Monsoon,5,375,Cold,100,65,3.6,31061,0,0,0,1,0,1,1,7,1,0,1,Budget
